x,y,angle
13.0,15.0,0.0
13.0,14.0,-90.0
13.0,13.0,-90.0
13.0,12.0,-90.0
13.0,11.0,-90.0
13.0,10.0,-90.0
14.0,9.0,-45.0
15.0,9.0,0.0
16.0,8.0,-45.0
17.0,8.0,0.0
18.0,8.0,0.0
19.0,7.0,-45.0
20.0,7.0,0.0
