x,y,angle
200.0,375.0,0.0
199.0,375.0,180.0
198.0,375.0,180.0
197.0,375.0,180.0
196.0,375.0,180.0
195.0,375.0,180.0
194.0,374.0,-135.0
193.0,373.0,-135.0
192.0,372.0,-135.0
191.0,372.0,180.0
190.0,371.0,-135.0
189.0,370.0,-135.0
188.0,369.0,-135.0
187.0,368.0,-135.0
186.0,367.0,-135.0
185.0,366.0,-135.0
184.0,366.0,180.0
183.0,366.0,180.0
182.0,366.0,180.0
181.0,366.0,180.0
180.0,366.0,180.0
179.0,366.0,180.0
178.0,365.0,-135.0
177.0,364.0,-135.0
176.0,363.0,-135.0
175.0,362.0,-135.0
174.0,361.0,-135.0
173.0,361.0,180.0
172.0,360.0,-135.0
171.0,360.0,180.0
170.0,359.0,-135.0
169.0,358.0,-135.0
168.0,357.0,-135.0
167.0,357.0,180.0
166.0,356.0,-135.0
165.0,356.0,180.0
164.0,355.0,-135.0
163.0,354.0,-135.0
162.0,354.0,180.0
161.0,354.0,180.0
160.0,354.0,180.0
159.0,354.0,180.0
158.0,354.0,180.0
157.0,354.0,180.0
156.0,354.0,180.0
155.0,353.0,-135.0
154.0,352.0,-135.0
153.0,352.0,180.0
152.0,352.0,180.0
151.0,352.0,180.0
150.0,351.0,-135.0
149.0,350.0,-135.0
149.0,349.0,-90.0
149.0,348.0,-90.0
149.0,347.0,-90.0
149.0,346.0,-90.0
149.0,345.0,-90.0
149.0,344.0,-90.0
149.0,343.0,-90.0
149.0,342.0,-90.0
149.0,341.0,-90.0
149.0,340.0,-90.0
149.0,339.0,-90.0
149.0,338.0,-90.0
149.0,337.0,-90.0
149.0,336.0,-90.0
149.0,335.0,-90.0
149.0,334.0,-90.0
149.0,333.0,-90.0
149.0,332.0,-90.0
149.0,331.0,-90.0
149.0,330.0,-90.0
149.0,329.0,-90.0
149.0,328.0,-90.0
149.0,327.0,-90.0
149.0,326.0,-90.0
149.0,325.0,-90.0
149.0,324.0,-90.0
149.0,323.0,-90.0
149.0,322.0,-90.0
149.0,321.0,-90.0
149.0,320.0,-90.0
149.0,319.0,-90.0
149.0,318.0,-90.0
149.0,317.0,-90.0
149.0,316.0,-90.0
149.0,315.0,-90.0
149.0,314.0,-90.0
149.0,313.0,-90.0
149.0,312.0,-90.0
149.0,311.0,-90.0
149.0,310.0,-90.0
149.0,309.0,-90.0
149.0,308.0,-90.0
149.0,307.0,-90.0
149.0,306.0,-90.0
149.0,305.0,-90.0
149.0,304.0,-90.0
149.0,303.0,-90.0
149.0,302.0,-90.0
149.0,301.0,-90.0
149.0,300.0,-90.0
149.0,299.0,-90.0
149.0,298.0,-90.0
149.0,297.0,-90.0
149.0,296.0,-90.0
149.0,295.0,-90.0
149.0,294.0,-90.0
149.0,293.0,-90.0
149.0,292.0,-90.0
149.0,291.0,-90.0
149.0,290.0,-90.0
149.0,289.0,-90.0
149.0,288.0,-90.0
149.0,287.0,-90.0
149.0,286.0,-90.0
149.0,285.0,-90.0
149.0,284.0,-90.0
149.0,283.0,-90.0
149.0,282.0,-90.0
149.0,281.0,-90.0
149.0,280.0,-90.0
149.0,279.0,-90.0
149.0,278.0,-90.0
149.0,277.0,-90.0
149.0,276.0,-90.0
149.0,275.0,-90.0
149.0,274.0,-90.0
149.0,273.0,-90.0
149.0,272.0,-90.0
149.0,271.0,-90.0
149.0,270.0,-90.0
149.0,269.0,-90.0
149.0,268.0,-90.0
149.0,267.0,-90.0
149.0,266.0,-90.0
149.0,265.0,-90.0
149.0,264.0,-90.0
149.0,263.0,-90.0
149.0,262.0,-90.0
149.0,261.0,-90.0
149.0,260.0,-90.0
149.0,259.0,-90.0
149.0,258.0,-90.0
149.0,257.0,-90.0
149.0,256.0,-90.0
149.0,255.0,-90.0
149.0,254.0,-90.0
149.0,253.0,-90.0
149.0,252.0,-90.0
149.0,251.0,-90.0
149.0,250.0,-90.0
149.0,249.0,-90.0
149.0,248.0,-90.0
149.0,247.0,-90.0
149.0,246.0,-90.0
149.0,245.0,-90.0
149.0,244.0,-90.0
149.0,243.0,-90.0
149.0,242.0,-90.0
149.0,241.0,-90.0
149.0,240.0,-90.0
149.0,239.0,-90.0
149.0,238.0,-90.0
149.0,237.0,-90.0
149.0,236.0,-90.0
149.0,235.0,-90.0
149.0,234.0,-90.0
149.0,233.0,-90.0
149.0,232.0,-90.0
149.0,231.0,-90.0
149.0,230.0,-90.0
149.0,229.0,-90.0
149.0,228.0,-90.0
149.0,227.0,-90.0
149.0,226.0,-90.0
149.0,225.0,-90.0
149.0,224.0,-90.0
149.0,223.0,-90.0
149.0,222.0,-90.0
149.0,221.0,-90.0
149.0,220.0,-90.0
149.0,219.0,-90.0
149.0,218.0,-90.0
149.0,217.0,-90.0
149.0,216.0,-90.0
149.0,215.0,-90.0
149.0,214.0,-90.0
149.0,213.0,-90.0
149.0,212.0,-90.0
149.0,211.0,-90.0
149.0,210.0,-90.0
149.0,209.0,-90.0
149.0,208.0,-90.0
149.0,207.0,-90.0
149.0,206.0,-90.0
149.0,205.0,-90.0
149.0,204.0,-90.0
149.0,203.0,-90.0
149.0,202.0,-90.0
149.0,201.0,-90.0
149.0,200.0,-90.0
149.0,199.0,-90.0
149.0,198.0,-90.0
149.0,197.0,-90.0
149.0,196.0,-90.0
149.0,195.0,-90.0
149.0,194.0,-90.0
149.0,193.0,-90.0
149.0,192.0,-90.0
149.0,191.0,-90.0
149.0,190.0,-90.0
149.0,189.0,-90.0
149.0,188.0,-90.0
149.0,187.0,-90.0
149.0,186.0,-90.0
149.0,185.0,-90.0
149.0,184.0,-90.0
149.0,183.0,-90.0
149.0,182.0,-90.0
149.0,181.0,-90.0
149.0,180.0,-90.0
149.0,179.0,-90.0
149.0,178.0,-90.0
149.0,177.0,-90.0
149.0,176.0,-90.0
149.0,175.0,-90.0
149.0,174.0,-90.0
149.0,173.0,-90.0
149.0,172.0,-90.0
149.0,171.0,-90.0
149.0,170.0,-90.0
149.0,169.0,-90.0
149.0,168.0,-90.0
149.0,167.0,-90.0
149.0,166.0,-90.0
149.0,165.0,-90.0
149.0,164.0,-90.0
149.0,163.0,-90.0
149.0,162.0,-90.0
149.0,161.0,-90.0
149.0,160.0,-90.0
149.0,159.0,-90.0
149.0,158.0,-90.0
149.0,157.0,-90.0
149.0,156.0,-90.0
149.0,155.0,-90.0
149.0,154.0,-90.0
149.0,153.0,-90.0
149.0,152.0,-90.0
149.0,151.0,-90.0
149.0,150.0,-90.0
149.0,149.0,-90.0
150.0,149.0,0.0
151.0,149.0,0.0
152.0,148.0,-45.0
153.0,147.0,-45.0
154.0,147.0,0.0
155.0,146.0,-45.0
156.0,145.0,-45.0
157.0,144.0,-45.0
158.0,143.0,-45.0
159.0,143.0,0.0
160.0,143.0,0.0
161.0,142.0,-45.0
162.0,141.0,-45.0
163.0,140.0,-45.0
164.0,140.0,0.0
165.0,140.0,0.0
166.0,139.0,-45.0
167.0,139.0,0.0
168.0,138.0,-45.0
169.0,137.0,-45.0
170.0,137.0,0.0
171.0,136.0,-45.0
172.0,135.0,-45.0
173.0,135.0,0.0
174.0,135.0,0.0
175.0,135.0,0.0
176.0,134.0,-45.0
177.0,133.0,-45.0
178.0,132.0,-45.0
179.0,132.0,0.0
180.0,131.0,-45.0
181.0,131.0,0.0
182.0,131.0,0.0
183.0,130.0,-45.0
184.0,130.0,0.0
185.0,130.0,0.0
186.0,130.0,0.0
187.0,129.0,-45.0
188.0,129.0,0.0
189.0,128.0,-45.0
190.0,128.0,0.0
191.0,128.0,0.0
192.0,128.0,0.0
193.0,128.0,0.0
194.0,127.0,-45.0
195.0,127.0,0.0
196.0,127.0,0.0
197.0,127.0,0.0
198.0,126.0,-45.0
199.0,125.0,-45.0
200.0,125.0,0.0
