x,y,angle
19.0,16.0,0.0
20.0,16.0,0.0
21.0,16.0,0.0
22.0,16.0,0.0
23.0,16.0,0.0
24.0,16.0,0.0
25.0,16.0,0.0
26.0,15.0,-45.0
27.0,14.0,-45.0
28.0,14.0,0.0
29.0,14.0,0.0
